Step,AgentID,Loudness,Voice
1,0,-1.3167629306831965,2
1,1,-1.3167629306831965,2
1,2,-1.3167629306831965,2
1,3,-1.3167629306831965,2
1,4,-1.3167629306831965,2
1,5,-2.9241210395363217,1
1,6,-1.3167629306831965,2
1,7,-1.3167629306831965,2
1,8,-1.3167629306831965,2
1,9,-1.3167629306831965,2
1,10,-2.1827725762609482,1
1,11,-1.3167629306831965,2
1,12,-1.3167629306831965,2
1,13,-1.3167629306831965,2
1,14,-1.3167629306831965,2
1,15,-1.1708735743768968,-1
1,16,-1.3167629306831965,2
1,17,-1.3167629306831965,2
1,18,-1.3167629306831965,2
1,19,-1.3167629306831965,2
1,20,-1.3167629306831965,2
1,21,-1.3167629306831965,2
1,22,-1.2692283178246635,-1
1,23,-1.3167629306831965,2
1,24,-1.3167629306831965,2
1,25,-1.3167629306831965,2
1,26,-1.3167629306831965,2
1,27,-1.3167629306831965,2
1,28,-1.3167629306831965,2
1,29,-1.3167629306831965,2
1,30,-1.3167629306831965,2
1,31,0.6965320983925636,1
1,32,-1.3167629306831965,2
1,33,-1.3167629306831965,2
1,34,-1.3167629306831965,2
1,35,-1.3167629306831965,2
1,36,-1.8319003034617651,1
1,37,-1.3167629306831965,2
1,38,-1.3167629306831965,2
1,39,-1.3167629306831965,2
1,40,-1.3167629306831965,2
1,41,-3.7305488678910605,0
1,42,0.0,0
1,43,-1.3167629306831965,2
1,44,-0.9975813186444416,0
1,45,-1.3167629306831965,2
1,46,-1.3167629306831965,2
1,47,-1.118493067840244,-1
1,48,-1.3167629306831965,2
1,49,-1.3167629306831965,2
1,50,-1.3167629306831965,2
1,51,-1.3167629306831965,2
1,52,-1.3167629306831965,2
1,53,-0.6931943066162335,0
1,54,-1.3167629306831965,2
1,55,-1.3167629306831965,2
1,56,-1.3167629306831965,2
1,57,-1.3167629306831965,2
1,58,-2.2757430978028985,0
1,59,-1.3167629306831965,2
1,60,-1.3167629306831965,2
1,61,-3.7026577114284747,0
1,62,-1.3167629306831965,2
1,63,-1.3167629306831965,2
1,64,-1.3167629306831965,2
1,65,-1.3167629306831965,2
1,66,-1.3167629306831965,2
1,67,-1.3167629306831965,2
1,68,-1.3167629306831965,2
1,69,0.5570763160796384,1
1,70,0.0,0
1,71,-1.3167629306831965,2
1,72,-1.3167629306831965,2
1,73,-1.1570963431179377,-1
1,74,-1.3167629306831965,2
1,75,-1.3167629306831965,2
1,76,-1.3167629306831965,2
1,77,-1.3167629306831965,2
1,78,-3.349369729569065,0
1,79,-1.3167629306831965,2
1,80,-1.3167629306831965,2
1,81,-1.4042359043687946,1
1,82,-1.3167629306831965,2
1,83,-1.3167629306831965,2
1,84,-1.3167629306831965,2
1,85,-1.3167629306831965,2
1,86,-1.3167629306831965,2
1,87,-2.4988723495035785,0
1,88,-1.3167629306831965,2
1,89,-1.3167629306831965,2
1,90,-0.8787594334421577,-1
1,91,-1.3167629306831965,2
1,92,-1.3167629306831965,2
1,93,-1.3167629306831965,2
1,94,-1.3167629306831965,2
1,95,-4.2301739751573635,1
1,96,-0.14708393857895513,0
1,97,-1.3167629306831965,2
1,98,-1.3167629306831965,2
1,99,-3.7026577114284747,1
2,0,0.5251834896157195,1
2,1,-4.118148434274344,1
2,2,-1.3612157144633752,2
2,3,-1.3612157144633752,2
2,4,-1.3612157144633752,2
2,5,0.2114164904862579,1
2,6,-1.3612157144633752,2
2,7,-1.3612157144633752,2
2,8,-1.3612157144633752,2
2,9,-1.3612157144633752,2
2,10,-1.3612157144633752,2
2,11,-1.0737718641959955,0
2,12,-1.3878783101604282,-1
