,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-139.4025008149842,10.0,77.0,8.0,5.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.6986921132959604,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.394025008149842
1,1,0.0,82,-129.49171340728753,10.0,60.0,23.0,7.0,1.5055142520949596,1.3655824509074446,0.3242344400674038,0.0,0.8460083021705482,-1.284162555702027,-1.290201278398209,-1.1605801161372964,-1.3612157144633752,-1.2949171340728765
2,2,0.0,8,52.649192176478124,9.0,51.0,25.0,15.0,0.9151655515291413,0.8265534496647453,0.17449632338014778,0.0,0.3431903649087102,0.6851069212517635,0.7327971726304989,0.6344854353597538,0.3339134923688598,0.5264919217647813
3,3,-29.011491975882016,38,-57.19337746937137,13.0,32.0,33.0,22.0,1.4723235012080538,1.4919909141616978,0.27264043545072264,0.0,1.0392978093849774,-0.6792693725233576,-0.39923184825680735,-0.6936729119860399,-1.0354992547351582,-0.5719337746937143
4,4,-29.011491975882016,88,-121.57135650559198,17.0,30.0,28.0,25.0,1.5290198886672852,1.5140664422099086,0.3124591063245795,0.0,1.0830384924525316,-1.1475965807222743,-1.3649158627166398,-1.074832014641851,-1.2406748911465892,-1.2157135650559208
5,5,-29.011491975882016,1,86.81182156962664,22.0,29.0,28.0,21.0,0.6794237377191497,0.6811824087489141,0.13949394063600193,0.0,0.5048326374684804,0.918094916549879,0.9214962288189578,0.8249876016053,0.9149917186902791,0.868118215696267
6,6,-29.011491975882016,90,-128.80580522270137,22.0,32.0,24.0,22.0,1.6383266372516205,1.6814996640567104,0.3064602622632261,0.0,1.1443007106895446,-1.2718418173730925,-1.6392909164872942,-1.1544288769605247,-1.2185611755212977,-1.2880580522270129
7,7,-29.011491975882016,18,4.838431806870558,19.0,30.0,24.0,27.0,1.2988431942770269,1.5074834088158675,0.23603379258785895,0.0,0.9143912735044164,0.15502173898958962,0.026569111363067454,0.17949847660978016,-0.3017711778304596,0.048384318068705544
8,8,-29.011491975882016,60,-98.4535214847814,20.0,32.0,25.0,23.0,1.4212692472335549,1.4493909998078252,0.3155568877067741,0.0,0.9226057825533314,-1.1747727399126042,-1.1573287601914382,-1.078630250647901,-1.4618125153699182,-0.984535214847814
9,9,-29.011491975882016,78,-109.17589733695287,26.0,30.0,28.0,16.0,1.3708990722464511,1.4931466345492759,0.3071209228884617,0.0,1.001533035059498,-1.2604734525385324,-1.5030532699167658,-1.1408446698225383,-1.3499276243465776,-1.0917589733695288
10,10,-29.011491975882016,51,-117.74449737099958,21.0,33.0,27.0,19.0,1.4186325669158433,1.4539133572908027,0.29275629397125524,0.0,1.0197111720668521,-0.9738739020390481,-1.2835058906525572,-0.9093105606815391,-1.279090277133162,-1.177444973709995
11,11,-29.011491975882016,53,-112.5092186642829,17.0,34.0,26.0,23.0,1.4376949805069177,1.4049881078354491,0.25502038313743497,0.0,0.979558489270244,-1.051803587872257,-1.408661841202978,-0.9819238202880094,-1.3497386853448274,-1.1250921866428292
12,12,-29.011491975882016,21,-19.733314077243804,17.0,27.0,26.0,30.0,1.4016662662214199,1.559371441069694,0.25131249909869463,0.0,0.9673056853382019,-0.04054262124204521,-0.21201648452929558,-0.01996340067478605,-0.4305542571867457,-0.19733314077243802
13,13,-29.011491975882016,70,-141.40022309456435,23.0,28.0,26.0,23.0,1.4700003366417513,1.4367822214881119,0.2735792537488622,0.0,1.079691685371093,-1.35861251179049,-1.486787449370249,-1.1914481949915847,-1.4980567423107511,-1.4140022309456435
14,14,-29.011491975882016,88,-119.67834731256895,29.0,30.0,24.0,17.0,1.634726227600747,1.822105429764474,0.37078851306916577,0.0,1.2741747447049625,-1.2137557383544653,-1.1907212971779537,-1.1580232798890573,-1.2840586066703417,-1.196783473125689
15,15,-29.011491975882016,93,-132.07932809250838,24.0,32.0,25.0,19.0,1.7920079437546297,1.7002862696717262,0.3045303376787021,0.0,1.1293620903533286,-1.1903443364983661,-1.2446431361330854,-1.0520129289572995,-1.15889007470651,-1.3207932809250844
16,16,-29.011491975882016,30,-60.46416241404471,24.0,32.0,25.0,19.0,1.4975991798247508,1.6123137894051678,0.2738827863433775,0.0,1.127734725155713,-0.35432358104671985,-0.37734931788533393,-0.3140737802640016,-0.9304377915846727,-0.604641624140447
17,17,-29.011491975882016,56,-123.99468339920956,22.0,27.0,32.0,19.0,1.3434608335653682,1.341906446380176,0.2935571076821226,0.0,0.9098728614061524,-1.0811882806324111,-1.3514437549407115,-1.018282878458498,-1.300705533596838,-1.239946833992095
18,18,-29.011491975882016,64,-148.20557741537505,25.0,25.0,27.0,23.0,1.3946558783784375,1.4873387857450613,0.2548797079685184,0.0,1.0764510581650186,-1.2829095643457475,-1.6269874762896137,-1.1636553597039094,-1.472460636903385,-1.4820557741537512
19,19,-29.011491975882016,30,-29.61114504509104,28.0,32.0,21.0,19.0,1.3809193816060614,1.420070394660903,0.2711607467719386,0.0,1.095464468978533,-0.19055013008655428,-0.13608788069447514,-0.1730593687826279,-0.6538266419530555,-0.29611145045091003
20,20,-29.011491975882016,54,-115.1528690859954,31.0,18.0,35.0,16.0,1.4016904870632818,1.4407021004220446,0.30222094617028605,0.0,1.1602080705859261,-0.9198759738148302,-0.9292846680017657,-0.830707747386328,-1.226434197917676,-1.1515286908599545
21,21,-29.011491975882016,91,-92.03232328086463,32.0,20.0,29.0,19.0,1.6616396157634996,1.5891838161960175,0.3464446758172736,0.0,1.2736126548213493,-1.1320892889525607,-1.243166237487306,-1.0820095475029015,-1.194883849557522,-0.9203232328086465
