,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-139.4025008149842,10.0,77.0,8.0,5.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.6986921132959604,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.394025008149842
1,1,0.0,82,-125.9566089404301,10.0,69.0,14.0,7.0,1.5055142520949596,1.361219855549888,0.32527126283724267,0.0,0.6960541807475091,-1.284162555702027,-1.2359457866931973,-1.1596956176918294,-1.3612157144633752,-1.2595660894043028
2,2,0.0,26,-55.77648316190499,13.0,64.0,14.0,9.0,1.4172446392015918,1.457108833066196,0.2774463449774828,0.0,0.6894986005739724,-0.21704401488261285,-0.39165422802435707,-0.16058080947996428,-0.6507685219730758,-0.5577648316190489
3,3,21.704401488261297,1,90.398070578324,5.0,56.0,12.0,27.0,0.7270146179698797,0.8274347489418294,0.14133810222828894,0.0,0.43561825274268706,0.9628219457189517,0.9446590621354694,0.8780554447468698,0.9143666433367033,0.9039807057832387
4,4,-96.2821945718952,32,-71.60300800988394,18.0,60.0,9.0,13.0,1.5100256833994592,1.4612134816105395,0.31149249229734166,0.0,0.6458214322618517,-0.41611973735354546,-0.23135262091176634,-0.3943438378033206,-0.9543941917929925,-0.7160300800988395
5,5,41.61197373535455,48,-101.22546603049564,9.0,44.0,12.0,35.0,1.4701960354861374,1.3647667846105938,0.2460551114184709,0.0,0.7124880759257926,-0.938408603301494,-0.7223126325006375,-0.7980561183142902,-1.3908526678320927,-1.0122546603049567
6,6,93.8408603301494,94,-116.93654370823127,15.0,35.0,11.0,39.0,1.876642550049788,1.7116323634353237,0.3714043038095951,0.0,0.9666657001047827,-1.1378022138959283,-1.3088072791156855,-1.0356870471096977,-1.1399781897491823,-1.1693654370823128
7,7,113.78022138959284,96,-111.36230217140144,12.0,50.0,6.0,32.0,1.7149565782562275,1.6085669208386668,0.31508582675180585,0.0,0.6628606803042368,-1.024457532967525,-1.208351154769366,-0.9558487181782911,-1.093616557734205,-1.1136230217140128
8,8,102.44575329675251,78,-125.29448929798625,13.0,57.0,4.0,26.0,1.3624240963556247,1.417968245599296,0.28886492903995253,0.0,0.4705704247058175,-1.2572570167254522,-1.1041545249743998,-1.1537535142905906,-1.391273387188531,-1.2529448929798612
9,9,125.72570167254528,63,-147.4987921651475,16.0,53.0,8.0,23.0,1.3831761055585243,1.338242797524507,0.25807197700956097,0.0,0.5745268736596785,-1.308157578015836,-1.5685661321445206,-1.1960429429436423,-1.4881125158027813,-1.4749879216514739
10,10,130.81575780158366,69,-140.88072261102735,11.0,61.0,6.0,22.0,1.3472744489665995,1.2397210162758752,0.26675609992989924,0.0,0.47113302370647453,-1.2811518522294125,-1.4163436410779189,-1.1968705204547472,-1.4066099193333925,-1.408807226110274
11,11,128.1151852229412,74,-131.44060840397313,7.0,62.0,7.0,24.0,1.4311335836446006,1.44674982436983,0.2633288520404211,0.0,0.40602381441153973,-1.3314111165427218,-1.3484781960748469,-1.191287674519389,-1.441746112642363,-1.3144060840397316
12,12,133.1411116542722,77,-126.61092688468904,15.0,64.0,3.0,18.0,1.3478753808785755,1.3229610509205887,0.26365211968965413,0.0,0.48112660514337324,-1.1839705231117719,-1.1203758929709067,-1.0451638150350393,-1.344833368726552,-1.266109268846889
13,13,118.39705231117719,28,-54.386001011045245,12.0,60.0,11.0,17.0,1.491175775268005,1.5761165458521298,0.27123824816086606,0.0,0.6657147178303385,-0.3171590995974896,-0.2318008630129147,-0.3031635637244616,-0.7409159687911334,-0.543860010110452
14,14,31.715909959748966,13,17.60488498605368,6.0,62.0,7.0,25.0,1.2042087737762996,0.9598311421459359,0.22070238588996594,0.0,0.30068843432847586,0.3617005965478208,0.6209339767018593,0.3344113335152152,0.03333950991780173,0.1760488498605367
15,15,-36.17005965478209,59,-132.64964102474954,14.0,50.0,6.0,30.0,1.44866781815082,1.4321219665890954,0.26502289724236905,0.0,0.6610753896394905,-1.2012855279275103,-1.0829595409494002,-1.0549392705423213,-1.5245643076566395,-1.3264964102474932
16,16,120.12855279275102,36,-90.57949331591779,12.0,44.0,9.0,35.0,1.5386216328738453,1.5571887113405734,0.26662736217964156,0.0,0.6559617944628072,-0.6892451943055022,-0.5402523563043816,-0.6176676178489704,-1.0876459096953621,-0.9057949331591775
17,17,68.92451943055025,61,-120.46030042905804,9.0,35.0,7.0,49.0,1.4223038454676402,1.3646518326698842,0.28963474622822727,0.0,0.6160117798935099,-1.301165074925075,-1.5818897300135761,-1.1475258145444298,-1.484869156484541,-1.204603004290581
18,18,130.11650749250754,70,-134.93021346988107,13.0,38.0,15.0,34.0,1.374327236254065,1.3052167811707307,0.29769805523254905,0.0,0.6869297847444701,-1.3470174833439201,-1.3937502129713066,-1.2671541901181314,-1.4808437849309875,-1.3493021346988117
19,19,134.70174833439202,95,-104.54845131700394,11.0,42.0,6.0,41.0,1.798452250630958,1.7896123923628644,0.3528120746393543,0.0,0.6828555479961385,-1.082790139365069,-0.7037943025977451,-1.0092203019971402,-1.1148221982758622,-1.0454845131700403
20,20,108.27901393650681,4,64.22550348411657,21.0,47.0,7.0,25.0,0.818398881655763,0.7894753461255679,0.17011460954309496,0.0,0.3928659955061149,0.815848713219148,0.9538721316221799,0.7003975429984222,0.6804265196245873,0.6422550348411653
21,21,-81.58487132191479,26,-53.547674152025216,9.0,50.0,11.0,30.0,1.500669996200229,1.7742916532544963,0.3171085533092541,0.0,0.7609224858141848,-0.20646025334112844,-0.7186045234212335,-0.20974966319989335,-0.7593600418474414,-0.5354767415202519
22,22,20.646025334112828,49,-102.69221931868691,14.0,41.0,8.0,37.0,1.485872168346783,1.5230066497571682,0.290106255215,0.0,0.6618687482170726,-0.9398992761326874,-1.0181790129623791,-0.8551503280119965,-1.308483215444621,-1.0269221931868682
23,23,93.9899276132688,41,-100.56649853205613,15.0,37.0,7.0,41.0,1.5363164404377516,1.6104708888205854,0.29156062674065797,0.0,0.7143438998294579,-0.7057213575328236,-0.979665317197929,-0.6932548585213975,-1.2286582382503464,-1.005664985320561
24,24,70.5721357532824,1,90.54193457163342,13.0,31.0,7.0,49.0,0.6782677165823012,0.613608442677114,0.16983910031555458,0.0,0.27344194883985945,0.9706553824390054,0.9836335420421293,0.882997123190512,0.9094664457492782,0.9054193457163342
25,25,-97.06553824390056,59,-139.72930894568532,17.0,27.0,10.0,46.0,1.4257193158034382,1.4382626247079449,0.27320940863487286,0.0,0.7945645232381852,-1.1784951425477803,-1.1134427919321128,-1.0394592535013725,-1.5299170498325485,-1.397293089456853
26,26,117.849514254778,29,-46.26415021208135,8.0,31.0,8.0,53.0,1.4739184515438126,1.4235746934262012,0.2910735202636204,0.0,0.7189299833264782,-0.2453483351442083,-0.05876087663762299,-0.2588753117421314,-0.8307147070909686,-0.46264150212081323
27,27,24.534833514420846,63,-116.53855827446161,13.0,17.0,10.0,60.0,1.382555967358642,1.4408696996952792,0.2751903948511933,0.0,0.6655203924653745,-1.211994348301336,-1.1783140022350522,-1.0496042512110608,-1.4812843773765771,-1.1653855827446147
28,28,121.19943483013355,24,-14.902365818614475,7.0,22.0,4.0,67.0,1.378017930042357,1.4327477571425737,0.28805612510909645,0.0,0.4908092439210679,0.0008026657325510205,-0.031195487375849672,0.027563199646082927,-0.6496726508450827,-0.14902365818614466
29,29,-0.08026657325510134,82,-116.93413672514627,10.0,17.0,10.0,63.0,1.4449417803625275,1.3821101120870671,0.2972837360825131,0.0,0.5080093140046648,-1.2811209824561403,-1.422050947368421,-1.1894400807017544,-1.39060350877193,-1.169341367251462
30,30,128.112098245614,86,-124.0071257367387,8.0,21.0,7.0,64.0,1.4908916588458034,1.4903749384059932,0.3031808629358373,0.0,0.5027759573610842,-1.237657820624115,-1.6936377484351441,-1.100941778864166,-1.3144001462055104,-1.2400712573673873
31,31,123.76578206241152,95,-106.100128812343,11.0,17.0,8.0,64.0,1.8237283555763706,1.7629004894283324,0.33565661400614893,0.0,0.7061524340337644,-1.1566649770036206,-1.2894250361527002,-1.040833001951702,-1.1236437029063508,-1.06100128812343
32,32,115.66649770036209,24,-25.11462404836048,13.0,23.0,4.0,60.0,1.3444544169688537,1.2515498694874092,0.2860420617162694,0.0,0.6233553119960534,-0.020380486696765784,0.18466803216880737,-0.013302372528419055,-0.4878301830239815,-0.25114624048360484
