,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-139.4025008149842,10.0,77.0,8.0,5.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.6986921132959604,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.394025008149842
1,1,0.0,82,-131.56482593831598,10.0,62.0,21.0,7.0,1.5055142520949596,1.361219855549888,0.32527126283724267,0.0,0.7788832477870513,-1.284162555702027,-1.2359457866931973,-1.1596956176918294,-1.3612157144633752,-1.3156482593831613
2,2,0.0,32,-52.2928370855232,10.0,51.0,31.0,8.0,1.460668727676774,1.4968099708052884,0.2760954370845022,0.0,1.031279427730235,-0.4254750897502472,-0.3699454667773592,-0.34960584117828003,-0.8677138311630322,-0.522928370855232
3,3,-29.011491975882016,73,-135.24295837983104,12.0,40.0,29.0,19.0,1.3654012917210152,1.3410447439619009,0.27733009014587884,0.0,0.8351461347671062,-1.3387934819402596,-1.3867232201868402,-1.2594765779023918,-1.4390896663318824,-1.3524295837983111
4,4,-29.011491975882016,42,-71.21493192291581,10.0,33.0,32.0,25.0,1.4903893901965677,1.5147345610469949,0.24810281408093832,0.0,0.9982659977960939,-0.7446993087557604,-0.8664542312526183,-0.6379375523669879,-1.1318496020108924,-0.7121493192291579
5,5,-29.011491975882016,20,-5.530082711031933,13.0,36.0,24.0,27.0,1.39388221374311,1.3039476197143292,0.288932527108532,0.0,0.8912749072702955,0.013941258750592265,0.14805879063311242,0.03682260485695408,-0.4039118567605625,-0.05530082711031924
6,6,-29.011491975882016,11,37.15304275094768,20.0,36.0,20.0,24.0,1.2163614389815556,1.3639234471086026,0.25129325084237086,0.0,0.7663658280260147,0.43241110914192876,0.353245918546465,0.3913317045734258,0.10196888691970658,0.3715304275094766
7,7,-29.011491975882016,39,-96.55595196091674,24.0,26.0,27.0,23.0,1.5321791601865227,1.5785703196031047,0.29364231662136064,0.0,1.1405440324311968,-0.6844888306542393,-0.7322782187401504,-0.5928683638614975,-1.2003186095726959,-0.9655595196091675
8,8,-29.011491975882016,54,-106.78578623498345,28.0,28.0,27.0,17.0,1.4452075139519271,1.36104932384591,0.27078202093924353,0.0,1.1449179892592982,-1.0588539979125309,-1.0888602611382845,-0.9578672778380369,-1.3489006814972473,-1.0678578623498352
9,9,-29.011491975882016,61,-139.1798602904001,24.0,38.0,25.0,13.0,1.4513325951806646,1.5119026924212309,0.27588398282684057,0.0,0.9917371942530171,-1.1972085174199334,-1.5951026817421972,-1.111077477068171,-1.3903100065235563,-1.3917986029040017
10,10,-29.011491975882016,31,-37.45667487820246,30.0,33.0,23.0,14.0,1.4955276884978568,1.457694053260813,0.28554460136858,0.0,1.0392646471674274,-0.33384495181889434,-0.18598019118754514,-0.24907503250495638,-0.9212199425207862,-0.37456674878202467
11,11,-29.011491975882016,71,-135.56092424051738,32.0,28.0,27.0,13.0,1.4174847976994809,1.371043533249297,0.2986586124021717,0.0,0.9996661114776966,-1.3205087811466234,-1.2634640960825767,-1.1839271292749658,-1.5003745280437755,-1.3556092424051733
12,12,-29.011491975882016,45,-119.99345520884292,28.0,36.0,19.0,17.0,1.5076638983456365,1.601977280158211,0.29024344594289103,0.0,1.0221650192371876,-0.9284708441074383,-1.2922594177324296,-0.7739810432536633,-1.3590914226477508,-1.1999345520884293
13,13,-29.011491975882016,85,-142.92501612187542,22.0,33.0,26.0,19.0,1.4949596077267777,1.545995359103472,0.3099549360779952,0.0,1.0584543217055788,-1.3463349062488315,-1.3536564959750652,-1.1776455194733642,-1.3341723844811266,-1.4292501612187551
14,13,0.0,85,-122.92858616298817,9.0,42.0,18.0,31.0,1.5075213159766776,1.4311646748113172,0.259823896807486,0.0,0.8947211670650745,-1.1983215255881638,-1.531508992238661,-1.033451074157167,-1.3098902498180933,-1.229285861629881
